5,0.354934
6,-0.325427
7,0.25279
8,-0.245901
9,0.19616
10,-0.197591
12,-0.16515
14,-0.141869
16,-0.124349
19,0.0922943
22,-0.090768
26,-0.0769418
31,0.056303
37,0.0470819
44,-0.045732
52,-0.038778
62,-0.0326037
74,-0.0273933
88,-0.0231078
105,0.0162923
126,-0.0162713
151,0.0111988
181,0.0092725
217,0.00766435
260,-0.00810394
312,-0.00682321
374,-0.00576148
448,-0.00487884
537,0.00284806
644,-0.00352098
772,-0.00300632
926,-0.00257566
1111,0.0011613
1333,0.000898518
1599,0.000679757
1918,-0.00145897
2301,0.000345313
2761,0.000218397
3313,0.000112621
3975,2.45107e-05
4770,-0.000835645
5724,-0.000765777
6868,-0.000707587
8241,-0.000203747
9889,-0.00023919
11866,-0.000584951
14239,-0.000293337
17086,-0.000533466
20503,-0.000330943
24603,-0.000345189
29523,-0.000357061
